TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;6  AVENUE COURTELINE;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.411265473129769, 48.844093326334296]], ""type"": ""MultiPoint""}";48.844093326334296,2.411265473129769
SANISETTE;;SQUARE EMILE COHL;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.409895752461853, 48.84199920626392]], ""type"": ""MultiPoint""}";48.84199920626392,2.409895752461853
SANISETTE;;face au 18 AVENUE DU GENERAL LECLERC;75014;6 h - 1 h;Oui;;;"{""coordinates"": [[2.330940750030464, 48.83234245020399]], ""type"": ""MultiPoint""}";48.83234245020399,2.330940750030464
SANISETTE;;70  BOULEVARD JOURDAN;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.328856513435701, 48.82262985130539]], ""type"": ""MultiPoint""}";48.82262985130539,2.328856513435701
SANISETTE;;face au 19  RUE LEON LHERMITTE;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.297810540412148, 48.84286484165984]], ""type"": ""MultiPoint""}";48.84286484165984,2.297810540412148
SANISETTE;;1  PLACE VIOLET;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.290479546332364, 48.84479730746867]], ""type"": ""MultiPoint""}";48.84479730746867,2.290479546332364
SANISETTE;;139  RUE DE L ABBE GROULT;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.302595746538933, 48.83566847382636]], ""type"": ""MultiPoint""}";48.83566847382636,2.302595746538933
SANISETTE;;QUAI BRANLY;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.28986840169592, 48.85553274383494]], ""type"": ""MultiPoint""}";48.85553274383494,2.28986840169592
SANISETTE;;224  AVENUE DE VERSAILLES;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.258619846101936, 48.83839708065923]], ""type"": ""MultiPoint""}";48.83839708065923,2.258619846101936
SANISETTE;;37  RUE MIRABEAU;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2690815555105672, 48.84593889811058]], ""type"": ""MultiPoint""}";48.84593889811058,2.2690815555105672
SANISETTE;;face au 2 AVENUE DE WAGRAM;75017;24 h / 24;Oui;;;"{""coordinates"": [[2.295697431651681, 48.87494771234444]], ""type"": ""MultiPoint""}";48.87494771234444,2.295697431651681
SANISETTE;;2  RUE MONTCALM;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.335221479388062, 48.89178882470802]], ""type"": ""MultiPoint""}";48.89178882470802,2.335221479388062
SANISETTE;;opposé au 94 RUE JEAN HENRI FABRE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.335537439363272, 48.901061167312136]], ""type"": ""MultiPoint""}";48.901061167312136,2.335537439363272
SANISETTE;;face au 5 AVENUE DE LAUMIERE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.381421987092033, 48.88302878255986]], ""type"": ""MultiPoint""}";48.88302878255986,2.381421987092033
SANISETTE;;177  AVENUE DE FLANDRE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.382026907945858, 48.89474105377586]], ""type"": ""MultiPoint""}";48.89474105377586,2.382026907945858
SANISETTE;;213  AVENUE JEAN JAURES;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.393095759882974, 48.888951442257486]], ""type"": ""MultiPoint""}";48.888951442257486,2.393095759882974
SANISETTE;;12  RUE REBEVAL;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.376382294517342, 48.87407067949223]], ""type"": ""MultiPoint""}";48.87407067949223,2.376382294517342
SANISETTE;;face au 73 BOULEVARD SAINT MICHEL;;24 h / 24;Oui;;;"{""coordinates"": [[2.340044296677426, 48.84612923935423]], ""type"": ""MultiPoint""}";48.84612923935423,2.340044296677426
SANISETTE;;17  RUE DU FOUR;;24 h / 24;Oui;;;"{""coordinates"": [[2.334590272454289, 48.85272198682075]], ""type"": ""MultiPoint""}";48.85272198682075,2.334590272454289
SANISETTE;;COURS LA REINE;;24 h / 24;Oui;;;"{""coordinates"": [[2.318088034663091, 48.86514883797138]], ""type"": ""MultiPoint""}";48.86514883797138,2.318088034663091
SANISETTE;;opposé au 44 AVENUE GABRIEL;;24 h / 24;Oui;;;"{""coordinates"": [[2.31276020722228, 48.869470956238764]], ""type"": ""MultiPoint""}";48.869470956238764,2.31276020722228
SANISETTE;;face au 19 AVENUE DE FRIEDLAND;;24 h / 24;Oui;;;"{""coordinates"": [[2.302361992982482, 48.874613485017605]], ""type"": ""MultiPoint""}";48.874613485017605,2.302361992982482
TOILETTES;;JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR;75005;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-tino-rossi-1786;"{""coordinates"": [[2.359133660382075, 48.84824348066088]], ""type"": ""MultiPoint""}";48.84824348066088,2.359133660382075
URINOIR FEMME;;JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR;75005;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-tino-rossi-1786;"{""coordinates"": [[2.359059981372502, 48.848303082096535]], ""type"": ""MultiPoint""}";48.848303082096535,2.359059981372502
TOILETTES;;SQUARE PIERRE-ADRIEN DALPAYRAT;75015;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-pierre-adrien-dalpayrat-2494;"{""coordinates"": [[2.313031069862712, 48.83776398633028]], ""type"": ""MultiPoint""}";48.83776398633028,2.313031069862712
TOILETTES;;SQUARE VAN VOLLENHOVEN;75012;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-van-vollenhoven-2593;"{""coordinates"": [[2.406786549937932, 48.834706801799896]], ""type"": ""MultiPoint""}";48.834706801799896,2.406786549937932
TOILETTES;;SQUARE EDOUARD VAILLANT;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-edouard-vaillant-2691;"{""coordinates"": [[2.3999211355178423, 48.86624979612694]], ""type"": ""MultiPoint""}";48.86624979612694,2.3999211355178423
TOILETTES;;SQUARE SARAH BERNHARDT;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-sarah-bernhardt-1774;"{""coordinates"": [[2.403701838756763, 48.849620045031294]], ""type"": ""MultiPoint""}";48.849620045031294,2.403701838756763
TOILETTES;;SQUARE DES SAINTS-SIMONIENS - MENILMONTANT;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-des-saint-simoniens-2694;"{""coordinates"": [[2.396969579365494, 48.8708534006859]], ""type"": ""MultiPoint""}";48.8708534006859,2.396969579365494
