,TYPE,STATUT,ADRESSE,ARRONDISSEMENT,HORAIRE,ACCES_PMR,RELAIS_BEBE,URL_FICHE_EQUIPEMENT,geo_shape,geo_point_2d,lon,lat
236,SANISETTE,,21  RUE DE GERGOVIE,75014,6h/22h,Oui,Non,,"{""coordinates"": [[2.314561721364447, 48.833925435692954]], ""type"": ""MultiPoint""}","48.833925435692954,2.314561721364447",2.314561721364447,48.833925435692954
237,SANISETTE,,10  AVENUE DU GENERAL LECLERC,75014,24h/24h,Oui,Non,,"{""coordinates"": [[2.331187020094139, 48.83301508320707]], ""type"": ""MultiPoint""}","48.83301508320707,2.331187020094139",2.331187020094139,48.83301508320707
238,SANISETTE,,AVENUE DE SUFFREN,75015,6h/22h,Oui,Non,,"{""coordinates"": [[2.308909490180235, 48.846023120096504]], ""type"": ""MultiPoint""}","48.846023120096504,2.308909490180235",2.308909490180235,48.846023120096504
239,SANISETTE,,face au 6 RUE DESNOUETTES,75015,24h/24h,Oui,Non,,"{""coordinates"": [[2.293417776948328, 48.83604524670522]], ""type"": ""MultiPoint""}","48.83604524670522,2.293417776948328",2.293417776948328,48.83604524670522
240,SANISETTE,,132  BOULEVARD BESSIERES,75017,6h/22h,Oui,Non,,"{""coordinates"": [[2.314293551735199, 48.894846104664346]], ""type"": ""MultiPoint""}","48.894846104664346,2.314293551735199",2.314293551735199,48.894846104664346
241,SANISETTE,,36  RUE DE LA CHARBONNIERE,75018,6h/22h,Oui,Non,,"{""coordinates"": [[2.352186422605598, 48.88410387025656]], ""type"": ""MultiPoint""}","48.88410387025656,2.352186422605598",2.352186422605598,48.88410387025656
242,SANISETTE,,opposé au 17 RUE RENE BINET,75018,24h/24h,Oui,Non,,"{""coordinates"": [[2.340530389340114, 48.89928991429743]], ""type"": ""MultiPoint""}","48.89928991429743,2.340530389340114",2.340530389340114,48.89928991429743
243,SANISETTE,,1  RUE SAINT BRUNO,75018,24h/24h,Oui,Non,,"{""coordinates"": [[2.356270510591299, 48.88595754102246]], ""type"": ""MultiPoint""}","48.88595754102246,2.356270510591299",2.356270510591299,48.88595754102246
244,SANISETTE,,135  RUE DAMREMONT,75018,24h/24h,Oui,Non,,"{""coordinates"": [[2.338269683499474, 48.8965489204548]], ""type"": ""MultiPoint""}","48.8965489204548,2.338269683499474",2.338269683499474,48.8965489204548
245,SANISETTE,,1  RUE DE LA BONNE,75018,6h/22h,Oui,Non,,"{""coordinates"": [[2.343545156427324, 48.88736179846098]], ""type"": ""MultiPoint""}","48.88736179846098,2.343545156427324",2.343545156427324,48.88736179846098
246,SANISETTE,,26 bis AVENUE CORENTIN CARIOU,75019,24h/24h,Oui,Non,,"{""coordinates"": [[2.385653355685078, 48.89731268179251]], ""type"": ""MultiPoint""}","48.89731268179251,2.385653355685078",2.385653355685078,48.89731268179251
247,SANISETTE,,6  PLACE DE LA PORTE DE BAGNOLET,75020,24h/24h,Oui,Non,,"{""coordinates"": [[2.408985779271119, 48.86412097368338]], ""type"": ""MultiPoint""}","48.86412097368338,2.408985779271119",2.408985779271119,48.86412097368338
248,SANISETTE,,8  RUE D ARCOLE,75004,6h/22h,Oui,Non,,"{""coordinates"": [[2.349398891032556, 48.8540198901374]], ""type"": ""MultiPoint""}","48.8540198901374,2.349398891032556",2.349398891032556,48.8540198901374
249,SANISETTE,,51  BOULEVARD DE ROCHECHOUART,75009,24h/24h,Oui,Non,,"{""coordinates"": [[2.341432909012633, 48.882316150207735]], ""type"": ""MultiPoint""}","48.882316150207735,2.341432909012633",2.341432909012633,48.882316150207735
250,SANISETTE,,face au 81 QUAI DE VALMY,75010,24h/24h,Oui,Non,,"{""coordinates"": [[2.364073917787641, 48.87258118624698]], ""type"": ""MultiPoint""}","48.87258118624698,2.364073917787641",2.364073917787641,48.87258118624698
251,TOILETTES,,SQUARE RUES BELLEVILLE - TELEGRAPHE,75020,Voir fiche équipement,Non,Non,https://www.paris.fr/equipements/square-belleville-telegraphe-2724,"{""coordinates"": [[2.399293408514616, 48.875194891123265]], ""type"": ""MultiPoint""}","48.875194891123265,2.399293408514616",2.399293408514616,48.875194891123265
252,TOILETTES,,SQUARE DE LA PLACE DE LA REUNION,75020,Voir fiche équipement,Non,Non,https://www.paris.fr/equipements/square-de-la-place-de-la-reunion-2705,"{""coordinates"": [[2.401508681870862, 48.85581626348992]], ""type"": ""MultiPoint""}","48.85581626348992,2.401508681870862",2.401508681870862,48.85581626348992
253,TOILETTES,,SQUARE HENRI CADIOU,75013,Voir fiche équipement,Non,Non,https://www.paris.fr/equipements/square-henri-cadiou-2529,"{""coordinates"": [[2.3425014153332793, 48.83447425994399]], ""type"": ""MultiPoint""}","48.83447425994399,2.3425014153332793",2.3425014153332793,48.83447425994399
254,TOILETTES,,PARC MONTSOURIS,75014,Voir fiche équipement,Oui,Non,https://www.paris.fr/equipements/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867,"{""coordinates"": [[2.336591567464136, 48.82227702606083]], ""type"": ""MultiPoint""}","48.82227702606083,2.336591567464136",2.336591567464136,48.82227702606083
255,TOILETTES,,SQUARE LEON SERPOLLET,75018,Voir fiche équipement,Oui,Non,https://www.paris.fr/equipements/square-leon-serpollet-2665,"{""coordinates"": [[2.339101315132648, 48.89225644637532]], ""type"": ""MultiPoint""}","48.89225644637532,2.339101315132648",2.339101315132648,48.89225644637532
256,TOILETTES,,BOIS DE VINCENNES - PARC FLORAL DE PARIS - PINEDE,75012,Voir fiche équipement,Oui,Oui,https://www.paris.fr/equipements/parc-floral-de-paris-1,"{""coordinates"": [[2.4446432672223812, 48.83825700612516]], ""type"": ""MultiPoint""}","48.83825700612516,2.4446432672223812",2.4446432672223812,48.83825700612516
257,SANISETTE,,29  RUE ROLAND BARTHES,75012,24h/24h,Oui,Non,,"{""coordinates"": [[2.3774441851341352, 48.8444926838465]], ""type"": ""MultiPoint""}","48.8444926838465,2.3774441851341352",2.3774441851341352,48.8444926838465
258,SANISETTE,,face au 98 QUAI DE LA RAPEE,75012,24h/24h,Oui,Non,,"{""coordinates"": [[2.367027805657553, 48.84600859329504]], ""type"": ""MultiPoint""}","48.84600859329504,2.367027805657553",2.367027805657553,48.84600859329504
259,SANISETTE,,face au 40 AVENUE REILLE,75014,24h/24h,Oui,Non,,"{""coordinates"": [[2.338538930462, 48.82444207894634]], ""type"": ""MultiPoint""}","48.82444207894634,2.338538930462",2.338538930462,48.82444207894634
260,SANISETTE,,98  BOULEVARD ARAGO,75014,6h/1h,Oui,Non,,"{""coordinates"": [[2.336803885060248, 48.834735549474466]], ""type"": ""MultiPoint""}","48.834735549474466,2.336803885060248",2.336803885060248,48.834735549474466
261,SANISETTE,,161  BOULEVARD BRUNE,75014,6h/22h,Oui,Non,,"{""coordinates"": [[2.321116922699177, 48.82434142990772]], ""type"": ""MultiPoint""}","48.82434142990772,2.321116922699177",2.321116922699177,48.82434142990772
262,SANISETTE,,92102  RUE BLOMET,75015,6h/22h,Oui,Non,,"{""coordinates"": [[2.300280980817689, 48.84090598651907]], ""type"": ""MultiPoint""}","48.84090598651907,2.300280980817689",2.300280980817689,48.84090598651907
263,SANISETTE,,face au 7 RUE LA QUINTINIE,75015,24h/24h,Oui,Non,,"{""coordinates"": [[2.306332691603664, 48.83923304249819]], ""type"": ""MultiPoint""}","48.83923304249819,2.306332691603664",2.306332691603664,48.83923304249819
264,SANISETTE,,PLACE DE LA PORTE D AUTEUIL,75016,24h/24h,Oui,Non,,"{""coordinates"": [[2.257177590169218, 48.84844378816905]], ""type"": ""MultiPoint""}","48.84844378816905,2.257177590169218",2.257177590169218,48.84844378816905
265,SANISETTE,,2  SQUARE LAMARTINE,75016,6h/22h,Oui,Non,,"{""coordinates"": [[2.275158169830334, 48.86517142314817]], ""type"": ""MultiPoint""}","48.86517142314817,2.275158169830334",2.275158169830334,48.86517142314817
266,SANISETTE,,96 ter RUE LEMERCIER,75017,6h/22h,Oui,Non,,"{""coordinates"": [[2.318866697645444, 48.88942282181049]], ""type"": ""MultiPoint""}","48.88942282181049,2.318866697645444",2.318866697645444,48.88942282181049
267,SANISETTE,,51  BOULEVARD GOUVION SAINT CYR,75017,6h/22h,Oui,Non,,"{""coordinates"": [[2.286017525668917, 48.88188419300001]], ""type"": ""MultiPoint""}","48.88188419300001,2.286017525668917",2.286017525668917,48.88188419300001
268,SANISETTE,,PLACE DE LA CHAPELLE,75018,6h/22h,Oui,Non,,"{""coordinates"": [[2.359098476818926, 48.88464490930497]], ""type"": ""MultiPoint""}","48.88464490930497,2.359098476818926",2.359098476818926,48.88464490930497
269,SANISETTE,,AVENUE DE LA PORTE DE CLIGNANCOURT,75018,6h/22h,Oui,Non,,"{""coordinates"": [[2.344441605047737, 48.9011330331849]], ""type"": ""MultiPoint""}","48.9011330331849,2.344441605047737",2.344441605047737,48.9011330331849
270,SANISETTE,,face au 90 BOULEVARD DE LA CHAPELLE,75018,24h/24h,Oui,Non,,"{""coordinates"": [[2.353429267194319, 48.884078653316436]], ""type"": ""MultiPoint""}","48.884078653316436,2.353429267194319",2.353429267194319,48.884078653316436
271,SANISETTE,,154  RUE D AUBERVILLIERS,75019,6h/22h,Oui,Non,,"{""coordinates"": [[2.369855639904201, 48.893384136510086]], ""type"": ""MultiPoint""}","48.893384136510086,2.369855639904201",2.369855639904201,48.893384136510086
272,SANISETTE,,2  RUE DE JOINVILLE,75019,6h/22h,Oui,Non,,"{""coordinates"": [[2.380702647901921, 48.889477761529356]], ""type"": ""MultiPoint""}","48.889477761529356,2.380702647901921",2.380702647901921,48.889477761529356
273,SANISETTE,,213  RUE DE BELLEVILLE,75019,6h/22h,Oui,Non,,"{""coordinates"": [[2.394776616457134, 48.87544598661789]], ""type"": ""MultiPoint""}","48.87544598661789,2.394776616457134",2.394776616457134,48.87544598661789
274,SANISETTE,,1  RUE DE BUZENVAL,75020,6h/22h,Oui,Non,,"{""coordinates"": [[2.402583928887361, 48.84910044336136]], ""type"": ""MultiPoint""}","48.84910044336136,2.402583928887361",2.402583928887361,48.84910044336136
